ID,GDP96,GDPGrow,popDens96,area96,unemp99,pctCollege,CO2_2005
TRA2,1756.26,0.996468508,0.006390014,0.01178701,0.01552795,0.075,0.031992253
TRA1,2784.62,0.955071846,0.005462785,0.015936445,0.040650407,0.075,0.027193424
TRB2,1843.8,0.90358205,0.00713118,0.016277142,0.109170306,0.075,0.029687998
TR72,3690.23,0.89106568,0.006844885,0.023286875,0.089466089,0.075,0.041521369
TR90,3882.21,0.878947165,0.014462627,0.013793894,0.067936508,0.075,0.032728494
TR82,3916.68,0.813508441,0.005816919,0.010384439,0.107883817,0.075,0.042432864
TR41,7778.33,0.80057278,0.01624958,0.011216768,0.087269816,0.075,0.037683996
TR61,6231.09,0.794045726,0.010325371,0.014053053,0.065359477,0.075,0.02153452
EE00,8667.92,0.781508892,0.005513383,0.017004583,0.1157,0.36,0.09375349
TR21,7552.44,0.775456986,0.011616961,0.007343346,0.062091503,0.075,0.048971209
TR83,4521.76,0.700510929,0.013241656,0.014708574,0.055900621,0.075,0.037043
TR63,4006.77,0.681694875,0.018582837,0.009157631,0.173521851,0.075,0.072585902
PL12,13236.19,0.679197788,0.023845963,0.01394344,0.1017,0.153602956,0.070550593
TR52,4882.89,0.67090965,0.007888621,0.01866727,0.084558824,0.075,0.027285927
TR81,5943.33,0.664386417,0.018965637,0.003741577,0.118644068,0.075,0.036309929
SK01,24241.6,0.65954935,0.049834611,0.000810358,0.0737,0.277555475,0.084012589
TRB1,3812.56,0.654488766,0.007972746,0.014083072,0.178253119,0.075,0.027100913
CZ01,28034.07,0.640501365,0.351949214,0.000191656,0.04,0.244430597,0.057802481
TR51,8874.65,0.6367802,0.025103678,0.009636051,0.148019458,0.075,0.020883085
ME13,4950.26,0.635570401,0.017566872,0.008201867,0.0174,0.099810492,0.095742164
TR33,5767.08,0.631724501,0.011080399,0.017508057,0.074829932,0.075,0.070196203
PL11,8186.24,0.621514129,0.024673585,0.007168542,0.1221,0.101451513,0.17420889
PT30,15620.08,0.62137027,0.05083445,0.000314354,0.0276,0.046222222,0.026730783
CL11,7236.67,0.617690782,0.000135662,0.041949817,0.0508,0.244,0.038416061
TRC3,2740.77,0.617257381,0.010392508,0.010249721,0.060453401,0.075,0.029041854
ME16,4569.35,0.61605504,0.011415784,0.022902092,0.0166,0.107267395,0.026638229
TR10,10552.05,0.606266834,0.251414293,0.002049728,0.123150106,0.075,0.017152432
PL41,9569.86,0.586659925,0.018782577,0.01170884,0.0977,0.107773368,0.041703735
TR71,5011.61,0.584842717,0.008796794,0.012239913,0.100900901,0.075,0.064776135
PL33,7353.4,0.579752129,0.01909875,0.004613766,0.1319,0.106668825,0.11549906
SK02,11047.81,0.569298035,0.020993698,0.00590257,0.142,0.101995565,0.061652946
PL51,10109.36,0.558506158,0.02508714,0.00784579,0.1484,0.136602052,0.077348236
SK03,9534.72,0.556658001,0.013994486,0.006393535,0.1858,0.107915058,0.057892196
ME18,4845.7,0.553917372,0.005513383,0.010942032,0.0102,0.164367776,0.027840763
TR22,6906.68,0.545411438,0.010392508,0.009523332,0.066334992,0.075,0.057802481
CA47,28125.21,0.542440847,0.00028826,0.208330911,0.0604,0.289631758,0.287206674
US56,39410.27,0.535138847,0.000322168,0.094680573,0.0485,0.217856868,0.693147181
CA48,35190.94,0.53312714,0.000728968,0.225315095,0.0572,0.350230795,0.285278997
