STATEFP,COUNTYFP,GEOID_OLD,GEOID,COUNTYNS,NAME,NAMELSAD,,emp_jun15,emp_jun16,emp_jun17,emp_jun18,emp_jun19,emp_jun20,emp_jun21
6,1,6001,0500000US06001,1675839,Alameda,Alameda County,,732579,755866,778911,793656,795938,706180,761279
6,3,6003,0500000US06003,1675840,Alpine,Alpine County,,503,618,554,589,625,472,600
6,5,6005,0500000US06005,1675841,Amador,Amador County,,11833,12053,12399,12473,12469,11562,12058
6,7,6007,0500000US06007,1675842,Butte,Butte County,,78335,80680,82771,84185,81236,73239,76870
6,9,6009,0500000US06009,1675885,Calaveras,Calaveras County,,8678,9325,9641,9903,9957,9725,10317
6,11,6011,0500000US06011,1675902,Colusa,Colusa County,,9649,9681,9249,9812,9905,8482,9607
6,13,6013,0500000US06013,1675903,Contra Costa,Contra Costa County,,348731,361826,370656,371623,372429,329504,353028
6,15,6015,0500000US06015,1682074,Del Norte,Del Norte County,,8194,8463,8313,8479,8460,7663,8015
6,17,6017,0500000US06017,277273,El Dorado,El Dorado County,,51845,54460,57538,58792,58516,50273,56406
6,19,6019,0500000US06019,277274,Fresno,Fresno County,,372865,383066,392921,400637,406731,381875,398537
6,21,6021,0500000US06021,277275,Glenn,Glenn County,,8867,9040,9059,9126,9701,9206,9347
6,23,6023,0500000US06023,1681908,Humboldt,Humboldt County,,46977,48785,49939,50826,51450,45498,48133
6,25,6025,0500000US06025,277277,Imperial,Imperial County,,65504,61423,66674,65107,65411,59933,64129
6,27,6027,0500000US06027,1804637,Inyo,Inyo County,,7857,7723,7539,7740,7833,7139,7335
6,29,6029,0500000US06029,2054176,Kern,Kern County,,309715,316493,325625,327013,335553,306523,326418
6,31,6031,0500000US06031,277280,Kings,Kings County,,46638,46878,48199,47948,49271,46478,47209
6,33,6033,0500000US06033,277281,Lake,Lake County,,15774,16324,16741,16869,17261,15476,16023
6,35,6035,0500000US06035,1693324,Lassen,Lassen County,,10278,10470,10981,9995,10005,9409,9596
6,37,6037,0500000US06037,277283,Los Angeles,Los Angeles County,,4240495,4344391,4373628,4441467,4501170,3935879,4219893
6,39,6039,0500000US06039,277284,Madera,Madera County,,47088,48098,49974,50914,52490,49942,52087
6,41,6041,0500000US06041,277285,Marin,Marin County,,113597,115546,118014,117754,117556,100414,106663
6,43,6043,0500000US06043,277286,Mariposa,Mariposa County,,5908,5852,6051,6081,5883,5122,5688
6,45,6045,0500000US06045,277287,Mendocino,Mendocino County,,32314,32988,33236,33616,33248,29273,31336
6,47,6047,0500000US06047,277288,Merced,Merced County,,77354,78248,80006,81899,82475,78165,82182
6,49,6049,0500000US06049,277289,Modoc,Modoc County,,2791,2864,2751,2749,2871,2797,2898
6,51,6051,0500000US06051,277290,Mono,Mono County,,6582,6938,7227,7282,7340,5291,7364
6,53,6053,0500000US06053,277291,Monterey,Monterey County,,199822,204917,205851,212107,214639,194434,201660
6,55,6055,0500000US06055,277292,Napa,Napa County,,76930,77531,79254,81277,82434,70404,74913
6,57,6057,0500000US06057,1682927,Nevada,Nevada County,,30080,30653,31708,32188,32432,29097,31672
6,59,6059,0500000US06059,277294,Orange,Orange County,,1521654,1556975,1598075,1628893,1656157,1441670,1556558
6,61,6061,0500000US06061,277295,Placer,Placer County,,149365,157112,162355,169646,173249,157383,174008
6,63,6063,0500000US06063,277296,Plumas,Plumas County,,6581,6816,6861,7015,7127,6539,7067
6,65,6065,0500000US06065,277297,Riverside,Riverside County,,656552,688998,713568,740332,761622,702592,762516
6,67,6067,0500000US06067,277298,Sacramento,Sacramento County,,628205,640633,652356,667212,679526,634143,668540
6,69,6069,0500000US06069,277299,San Benito,San Benito County,,16282,17474,17738,17495,17752,16213,17189
6,71,6071,0500000US06071,277300,San Bernardino,San Bernardino County,,685400,701608,727044,749858,770216,733719,786214
6,73,6073,0500000US06073,277301,San Diego,San Diego County,,1372976,1407416,1440866,1471811,1492516,1321639,1430039
6,75,6075,0500000US06075,277302,San Francisco,San Francisco County,,670400,701301,717438,741997,760724,660933,681618
6,77,6077,0500000US06077,277303,San Joaquin,San Joaquin County,,233881,238919,248899,254278,260221,247373,264759
6,79,6079,0500000US06079,277304,San Luis Obispo,San Luis Obispo County,,115757,116031,120572,120311,122328,106209,115077
6,81,6081,0500000US06081,277305,San Mateo,San Mateo County,,383588,391401,402513,405924,417089,371834,403029
6,83,6083,0500000US06083,277306,Santa Barbara,Santa Barbara County,,197309,198190,201695,205201,210261,200021,216943
6,85,6085,0500000US06085,277307,Santa Clara,Santa Clara County,,1020018,1051204,1077317,1104237,1122277,1022082,1069282
6,87,6087,0500000US06087,277308,Santa Cruz,Santa Cruz County,,105569,108577,110255,109948,111413,97489,105563
6,89,6089,0500000US06089,1682610,Shasta,Shasta County,,64417,66033,67027,67801,68810,64700,66760
6,91,6091,0500000US06091,277310,Sierra,Sierra County,,555,574,547,559,596,541,672
6,93,6093,0500000US06093,277311,Siskiyou,Siskiyou County,,13912,14331,14766,14765,14653,13786,14055
6,95,6095,0500000US06095,277312,Solano,Solano County,,132059,136985,139890,142892,144567,129812,133251
6,97,6097,0500000US06097,1657246,Sonoma,Sonoma County,,197525,202887,208383,212364,212340,186774,198088
6,99,6099,0500000US06099,277314,Stanislaus,Stanislaus County,,179898,184719,189317,192348,194812,180779,189198
6,101,6101,0500000US06101,277315,Sutter,Sutter County,,30023,31662,32961,33861,34273,31909,32631
6,103,6103,0500000US06103,1692767,Tehama,Tehama County,,17288,17875,18736,19057,19368,18466,19405
6,105,6105,0500000US06105,277317,Trinity,Trinity County,,2930,2909,2970,2966,3044,2756,2946
6,107,6107,0500000US06107,277318,Tulare,Tulare County,,160784,165872,169364,170447,171574,161037,164857
6,109,6109,0500000US06109,277319,Tuolumne,Tuolumne County,,17275,17845,17809,17964,18044,15703,17132
6,111,6111,0500000US06111,277320,Ventura,Ventura County,,316904,321870,326366,330870,335034,305659,318555
6,113,6113,0500000US06113,277321,Yolo,Yolo County,,99211,102122,103535,105824,108664,102453,114203
6,115,6115,0500000US06115,277322,Yuba,Yuba County,,16407,17055,17828,18134,18550,19045,19363
