county,id_old,id,mpo,pop10,births10,deaths10,natinc10,immig10,dommig10,pop17,births17,deaths17,natinc17,immig17,dommig17,pop21,births21,deaths21,natinc21,immig21,dommig21
Alameda,6001,0500000US06001,ABAG,1515354,4873,2157,2716,2081,286,1650818,19443,10112,9331,12421,-8110,1671741,17296,11592,5704,1558,-17221
Alpine,6003,0500000US06003,non-MPO,1175,3,3,0,0,0,1141,4,13,-9,1,-1,1181,13,33,-20,0,2
Amador,6005,0500000US06005,non-MPO,38069,78,100,-22,2,-2,37050,306,437,-131,20,-20,40316,272,503,-231,6,35
Butte,6007,0500000US06007,non-MPO,220193,622,551,71,63,59,226470,2476,2406,70,191,1448,201158,1983,2476,-493,-35,-9530
Calaveras,6009,0500000US06009,non-MPO,45535,75,118,-43,2,-2,44609,371,509,-138,35,-35,45111,360,586,-226,4,56
Colusa,6011,0500000US06011,non-MPO,21465,69,23,46,16,-16,22580,313,161,152,126,-126,22059,292,193,99,18,116
Contra Costa,6013,0500000US06013,ABAG,1051669,3008,1704,1304,673,667,1138039,12257,7844,4413,5602,-1308,1163765,11795,9109,2686,1172,-6762
Del Norte,6015,0500000US06015,non-MPO,28389,91,72,19,3,-243,26858,311,310,1,29,-128,27529,258,376,-118,3,-101
El Dorado,6017,0500000US06017,SACOG,181008,381,321,60,39,-149,186123,1597,1575,22,212,1804,191992,1472,1855,-383,43,1050
Fresno,6019,0500000US06019,non-MPO,932501,3893,1539,2354,493,-796,999929,15020,7034,7986,2805,1066,1013744,13830,9561,4269,561,54
Glenn,6021,0500000US06021,non-MPO,28182,107,47,60,12,-12,29210,378,252,126,66,-66,29007,358,300,58,12,115
Humboldt,6023,0500000US06023,non-MPO,134998,383,298,85,10,280,136113,1478,1377,101,129,-1,135467,1262,1496,-234,25,-838
Imperial,6025,0500000US06025,SCAG,175200,689,215,474,294,-96,188650,2960,1049,1911,1843,-1624,177052,2396,1889,507,287,-2279
Inyo,6027,0500000US06027,non-MPO,18539,41,48,-7,6,-6,18592,182,248,-66,20,-20,18931,173,241,-68,3,19
Kern,6029,0500000US06029,non-MPO,841537,3485,1316,2169,396,-659,898825,13641,6101,7540,2436,927,908283,12363,8349,4014,474,-3226
Kings,6031,0500000US06031,non-MPO,152163,568,192,376,63,-1258,150587,2236,838,1398,301,-284,153617,2242,1206,1036,66,-570
