REG_ID,Region,Country,totpop05,totpop20,pop65plus05,pop65plus20,workagepop05,workagepop20,areasqkm,popsqkm05,popsqkm20,pctba20,pm2pt5_05,pm2pt5_19,co2tot08,co2cap08,broadband19,inc05,inc19,unemp05,unemp20,covidvax2021q2
US39,Ohio,US,11463300,11790600,1527300,2097640,7623540,7472740,106056,108.09,111.17,NA,12.64,8.7,199757,17.3,0.854,34335,42164,0.06,0.085,0.642
US42,Pennsylvania,US,12450000,12989600,1887080,2447690,8242130,8175650,116075,107.26,111.91,NA,13.2,8.56,252782,20,0.856,38409,48361,0.049,0.089,0.681
IL05,Tel Aviv District,IL,1183300,1452400,175700,NA,759100,NA,172,6879.65,8444.19,NA,25.32,20.98,3751.66,3,NA,13021,NA,0.073,NA,NA
ITF6,Calabria,IT,1989500,1894110,358068,419874,1321450,1226510,15179,131.07,124.78,0.16,14.27,11.22,8842.47,4.5,0.77,16228,15236,0.145,0.207,0.6359
KR04,Jeolla Region,KR,5113250,5044160,666751,980374,3440470,3446440,20539,248.95,245.59,0.51786,23.38,27.58,60238.2,11.9,NA,13642,19438,0.032,0.029,0.6635
KR07,Jeju,KR,541833,670207,54792,101153,367675,472575,1846,293.52,363.06,0.57684,19.66,22.67,1351.04,2.5,NA,13533,18724,0.027,0.025,0.6326
CH04,Zurich,CH,1261810,1539280,197307,262396,873595,1041590,1654,762.88,930.64,0.538658,13.62,10.38,10206.8,7.7,0.96,NA,NA,0.042,0.045,0.6169
BR24,Distrito Federal (BR),BR,2333110,3055150,96132,NA,1643170,NA,5802,402.12,526.57,NA,NA,NA,3388.01,1.3,NA,NA,NA,NA,NA,0.6694
CO13,Bolívar,CO,1799790,2180980,108405,177369,1109920,1415190,25978,69.28,83.95,0.249636,21.53,19.8,NA,NA,NA,NA,NA,0.107,NA,NA
CO97,Vaupés,CO,25461,44712,1022,1795,11943,23166,54135,0.47,0.83,NA,23.39,22.83,NA,NA,NA,NA,NA,NA,NA,NA
BG31,North West,BG,954395,728157,206829,192670,619531,436807,18843,50.65,38.64,0.207,26.09,21.14,NA,NA,0.71,5066,9014,0.126,0.134,NA
NZ19,Wellington,NZ,461600,543000,51510,78700,314820,368200,7984,57.82,68.01,0.475,5.33,5.22,3042.62,6.4,NA,17456,NA,0.043,0.04,NA
NZ23,Canterbury,NZ,531900,644100,72560,105000,355490,425600,45039,11.81,14.3,0.351,8.05,7.75,1654.09,3,NA,17328,NA,0.034,0.039,NA
